id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
10014843,visit_1,21749735,29440682,2357315,2131457,40.62,54.98,4.4,3.98
10014843,visit_2,20386630,28821536,2294959,2026725,39.58,55.96,4.46,3.94
10041309,visit_1,16191283,23296402,2012824,1697562,39.01,56.14,4.85,4.09
10041309,visit_2,13869166,20948319,1703388,1514954,37.98,57.36,4.66,4.15
10314102,visit_1,22809265,29006509,2300346,2240714,42.15,53.6,4.25,4.14
10314102,visit_2,20530809,22057177,1740154,1799789,46.32,49.76,3.93,4.06
10673291,visit_1,19125600,25883616,2194097,1859430,40.52,54.83,4.65,3.94
10673291,visit_2,17509464,22896223,1865121,1678084,41.42,54.17,4.41,3.97
11409794,visit_1,16369207,23033676,1860082,1684316,39.67,55.82,4.51,4.08
11409794,visit_2,21891957,27097339,2095585,2084634,42.85,53.04,4.1,4.08
11503150,visit_2,18152792,22445574,1806721,1620846,42.81,52.93,4.26,3.82
11679685,visit_1,16065669,21296660,1680409,1521048,41.15,54.55,4.3,3.9
11679685,visit_2,21826573,21750015,1811686,1772732,48.09,47.92,3.99,3.91
12245917,visit_1,11215852,43633654,20233832,1392394,14.94,58.11,26.95,1.85
12245917,visit_2,24850784,31573637,2403026,2412725,42.24,53.67,4.08,4.1
12497988,visit_1,15210546,18314162,2263620,1318026,42.5,51.17,6.33,3.68
12497988,visit_2,18385215,23316423,1876618,1670064,42.19,53.5,4.31,3.83
12691846,visit_1,21671319,27866518,2219333,2096602,41.87,53.84,4.29,4.05
12691846,visit_2,18059731,22891369,1829691,1653258,42.21,53.51,4.28,3.86
13135943,visit_1,18574610,21951481,1923021,1707713,43.76,51.71,4.53,4.02
13135943,visit_2,20100316,19345389,1680200,1643052,48.88,47.04,4.09,4
14440557,visit_1,20810520,31827240,2482234,2138052,37.75,57.74,4.5,3.88
14440557,visit_2,18459209,24066567,1877260,1760651,41.57,54.2,4.23,3.97
14755111,visit_1,15883531,18537822,1576238,1390008,44.12,51.5,4.38,3.86
14755111,visit_2,20279867,24016410,1920285,1817303,43.88,51.96,4.15,3.93
15614407,visit_1,14193110,18231901,1558982,1322891,41.76,53.65,4.59,3.89
15614407,visit_2,19864685,24303667,1962800,1808028,43.06,52.68,4.25,3.92
15693659,visit_1,17916921,23151353,1894397,1706605,41.7,53.89,4.41,3.97
15693659,visit_2,25833238,29132257,2298823,2315938,45.11,50.87,4.01,4.04
15695035,visit_1,19438726,30280775,2296188,2119873,37.37,58.21,4.41,4.08
15695035,visit_2,19710681,22493150,1847085,1770208,44.75,51.06,4.19,4.02
16802035,visit_1,15885763,20006426,1541977,1481665,42.44,53.44,4.12,3.96
16802035,visit_2,18678846,22269888,1750953,1697728,43.74,52.15,4.1,3.98
19050848,visit_1,29511735,34370029,2930099,2595444,44.17,51.44,4.39,3.88
19050848,visit_2,19723457,23841515,1961411,1842580,43.32,52.37,4.31,4.05
19592436,visit_1,26953192,33321695,2506772,2482867,42.93,53.08,3.99,3.95
19592436,visit_2,16367413,19321596,1510735,1502401,44,51.94,4.06,4.04
20153763,visit_1,19926979,24204034,1841015,1898127,43.35,52.65,4,4.13
20153763,visit_2,17311191,19159670,1466977,1546963,45.63,50.5,3.87,4.08
20279733,visit_1,20564862,30410927,2269025,2092659,38.62,57.12,4.26,3.93
20279733,visit_2,15779010,23135706,1842725,1597326,38.71,56.76,4.52,3.92
20459194,visit_1,16335393,26905880,2297188,1687419,35.87,59.08,5.04,3.71
20459194,visit_2,15064188,22560361,1797651,1585013,38.21,57.23,4.56,4.02
21665931,visit_1,21096011,26514088,2019070,1932551,42.51,53.42,4.07,3.89
21665931,visit_2,14790573,17551019,1770418,1430483,43.36,51.45,5.19,4.19
21699889,visit_1,18089725,23977578,1842354,1784290,41.2,54.61,4.2,4.06
21699889,visit_2,18578608,27835559,2140434,2001851,38.26,57.33,4.41,4.12
21755088,visit_1,23969328,30866995,2306633,2263999,41.95,54.02,4.04,3.96
21755088,visit_2,18679303,22383791,1728547,1755071,43.65,52.31,4.04,4.1
21810750,visit_1,15328966,25178846,1898188,1709396,36.15,59.38,4.48,4.03
21810750,visit_2,15375134,20778318,1611413,1475308,40.71,55.02,4.27,3.91
22004824,visit_1,18818058,32699920,2568564,2112066,34.79,60.46,4.75,3.9
22004824,visit_2,18344277,25651913,2097692,1768195,39.8,55.65,4.55,3.84
22338816,visit_1,20407363,28328842,2331910,2018132,39.96,55.47,4.57,3.95
22338816,visit_2,16654787,26292594,2062364,1757918,37,58.42,4.58,3.91
24602302,visit_1,25083022,30906117,2542150,2388263,42.85,52.8,4.34,4.08
